city,year,population
Austin,2016,921066
Austin,2017,929909
Austin,2018,938108
Austin,2019,951076
Austin,2020,962163
Austin,2021,966501
Austin,2022,978358
Austin,2023,990110
Austin,2024,998607
Austin,2025,1002632
Dallas,2016,1298595
Dallas,2017,1313305
Dallas,2018,1308750
Dallas,2019,1306300
Dallas,2020,1303503
Dallas,2021,1290763
Dallas,2022,1303744
Dallas,2023,1318565
Dallas,2024,1331299
Dallas,2025,1329491
El Paso,2016,677215
El Paso,2017,677907
El Paso,2018,676196
El Paso,2019,677386
El Paso,2020,679296
El Paso,2021,678522
El Paso,2022,678968
El Paso,2023,682050
El Paso,2024,685231
El Paso,2025,683012
Fort Worth,2016,853083
Fort Worth,2017,870976
Fort Worth,2018,888835
Fort Worth,2019,904253
Fort Worth,2020,923653
Fort Worth,2021,938082
Fort Worth,2022,959354
Fort Worth,2023,983882
Fort Worth,2024,1008605
Fort Worth,2025,1028117
Houston,2016,2298146
Houston,2017,2303550
Houston,2018,2303636
Houston,2019,2303565
Houston,2020,2298295
Houston,2021,2291811
Houston,2022,2316816
Houston,2023,2345418
Houston,2024,2385800
Houston,2025,2397315
San Antonio,2016,1408099
San Antonio,2017,1418310
San Antonio,2018,1424718
San Antonio,2019,1428291
San Antonio,2020,1438310
San Antonio,2021,1453435
San Antonio,2022,1476463
San Antonio,2023,1505047
San Antonio,2024,1534063
San Antonio,2025,1548422
