"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 09/11/2026. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 4,694 Crashes containing 9,772 Units and 11,008 Persons"

"Filters Applied to current Query:"
"Crash Year Is In  2016 or 2017 or 2018 or 2019 or 2020 or 2021 or 2022 or 2023 or 2024 or 2025 or 2026"
""
"Person Injury Severity Is In K - FATAL INJURY or A - SUSPECTED SERIOUS INJURY"
"Person Type Is Equal To 3 - PEDALCYCLIST"


"Crash ID","At Intersection Flag","City","Crash Date","Crash Death Count","Crash Severity","Crash Year","Fatal Crash Flag","Intersecting Street Name","Intersecting Street Number","Intersection Related","Latitude","Longitude","Speed Limit","Street Name","Street Number","Contributing Factor 1","Contributing Factor 2","Contributing Factor 3","Driver Alcohol Result","Driver Drug Test Result","Possible Contributing Factor 1","Possible Contributing Factor 2","Unit Death Count","Unit Description","Vehicle Hit and Run Flag","Person Age","Person Death Count","Person Ethnicity","Person Gender","Person Helmet","Person Injury Severity","Person Number","Person Type"
"14875231","false","HOUSTON","2016-01-03","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","29.81489477","-95.33518354","40","IH0069","NO DATA","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","23","0","B - BLACK","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14875231","false","HOUSTON","2016-01-03","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","29.81489477","-95.33518354","40","IH0069","NO DATA","No Data","No Data","No Data","No Data","No Data","20 - DRIVER INATTENTION","No Data","0","3 - PEDALCYCLIST","No Data","39","0","B - BLACK","1 - MALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14842864","true","HOUSTON","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","GENTRY ST","NO DATA","INTERSECTION","29.7819048","-95.36072309","35","QUITMAN ST","998","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","46","0","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14842864","true","HOUSTON","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","GENTRY ST","NO DATA","INTERSECTION","29.7819048","-95.36072309","35","QUITMAN ST","998","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","41","0","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","2","2 - PASSENGER/OCCUPANT"
"14842864","true","HOUSTON","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","GENTRY ST","NO DATA","INTERSECTION","29.7819048","-95.36072309","35","QUITMAN ST","998","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","75","0","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","3","2 - PASSENGER/OCCUPANT"
"14842864","true","HOUSTON","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","GENTRY ST","NO DATA","INTERSECTION","29.7819048","-95.36072309","35","QUITMAN ST","998","No Data","No Data","No Data","No Data","No Data","33 - FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION","No Data","0","3 - PEDALCYCLIST","No Data","57","0","H - HISPANIC","2 - FEMALE","99 - UNKNOWN IF WORN","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14856796","false","ALLEN","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","33.12079915","-96.65426919","30","BETHLEHEM RD","1502","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","18","0","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14856796","false","ALLEN","2016-01-04","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","33.12079915","-96.65426919","30","BETHLEHEM RD","1502","34 - FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE","No Data","No Data","No Data","No Data","No Data","No Data","0","3 - PEDALCYCLIST","No Data","10","0","W - WHITE","1 - MALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14850422","true","BROWNSVILLE","2016-01-07","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","No Data","No Data","15","SH0048","NO DATA","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","28","0","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14850422","true","BROWNSVILLE","2016-01-07","0","A - SUSPECTED SERIOUS INJURY","2016","0","N/A","NO DATA","NON INTERSECTION","No Data","No Data","15","SH0048","NO DATA","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","3 - PEDALCYCLIST","No Data","55","0","H - HISPANIC","1 - MALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14852242","true","SAN ANTONIO","2016-01-08","0","A - SUSPECTED SERIOUS INJURY","2016","0","HAYS ST","NO DATA","INTERSECTION","29.43019497","-98.46404232","30","ST CHARLES ST","398","No Data","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","76","0","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14852242","true","SAN ANTONIO","2016-01-08","0","A - SUSPECTED SERIOUS INJURY","2016","0","HAYS ST","NO DATA","INTERSECTION","29.43019497","-98.46404232","30","ST CHARLES ST","398","16 - DISREGARD STOP SIGN OR LIGHT","29 - FAILED TO STOP AT PROPER PLACE","No Data","No Data","No Data","No Data","No Data","0","3 - PEDALCYCLIST","No Data","21","0","H - HISPANIC","2 - FEMALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14861338","true","COPPELL","2016-01-09","0","A - SUSPECTED SERIOUS INJURY","2016","0","ROLLING HILLS RD","NO DATA","INTERSECTION","32.95991423","-96.98198251","30","E BETHEL SCHOOL RD","419","35 - FAILED TO YIELD RIGHT OF WAY - STOP SIGN","No Data","No Data","No Data","97 - NOT APPLICABLE","No Data","No Data","0","1 - MOTOR VEHICLE","No","48","0","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","1","1 - DRIVER"
"14861338","true","COPPELL","2016-01-09","0","A - SUSPECTED SERIOUS INJURY","2016","0","ROLLING HILLS RD","NO DATA","INTERSECTION","32.95991423","-96.98198251","30","E BETHEL SCHOOL RD","419","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","3 - PEDALCYCLIST","No Data","58","0","W - WHITE","2 - FEMALE","2 - WORN, DAMAGED","A - SUSPECTED SERIOUS INJURY","1","3 - PEDALCYCLIST"
"14861338","true","COPPELL","2016-01-09","0","A - SUSPECTED SERIOUS INJURY","2016","0","ROLLING HILLS RD","NO DATA","INTERSECTION","32.95991423","-96.98198251","30","E BETHEL SCHOOL RD","419","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","3 - PEDALCYCLIST","No Data","24","0","W - WHITE","1 - MALE","2 - WORN, DAMAGED","N - NOT INJURED","1","3 - PEDALCYCLIST"
