bicycle_hin_id,corridor,Miles,crashes,deaths,serious_injuries,first_year,last_year
1,S General Mcmullen,2.954,5,2,3,2019,2023
2,N Main Ave,0.428,3,0,3,2019,2022
3,Austin Hwy,0.718,3,0,3,2020,2023
15,Wurzbach Pkwy,0.75,2,1,1,2021,2022
4,W Commerce St,0.228,2,0,2,2022,2023
5,Sw Military Dr,0.214,2,0,2,2022,2022
11,Bandera Rd,0.852,2,0,2,2020,2023
22,Bandera Rd,0.5,2,0,2,2020,2023
10,Culebra Rd,0.858,1,1,0,2022,2022
14,Historic Old Hwy 90,1.174,1,1,0,2022,2022
20,Saunders Ave,0.276,1,1,0,2022,2022
6,Pleasanton Rd,0.925,1,0,1,2023,2023
7,Culebra Rd,1.69,1,0,1,2023,2023
8,Se Military Dr,0.773,1,0,1,2023,2023
9,W Commerce St,0.243,1,0,1,2023,2023
12,Nacogdoches Rd,0.931,1,0,1,2023,2023
13,De Zavala Rd,0.872,1,0,1,2022,2022
21,S Navidad St,0.148,1,0,1,2023,2023
