GEOID,NAME,serious_injuries,deaths,crashes,affected_bicyclists
48029110100,1101,8,0,8,8
48029191900,1919,4,3,7,7
48029111100,1111,6,1,7,7
48029120902,1209.02,6,1,7,7
48029171000,1710,4,2,6,6
48029171200,1712,3,2,5,5
48029121203,1212.03,4,1,5,5
48029150100,1501,5,0,5,5
48029151100,1511,5,0,5,5
48029121403,1214.03,3,1,4,4
48029180300,1803,4,0,4,4
48029160100,1601,1,2,3,3
48029171100,1711,1,2,3,3
48029161100,1611,2,1,3,3
48029170200,1702,2,1,3,3
48029171602,1716.02,2,1,2,3
48029192200,1922,2,1,3,3
48029121204,1212.04,3,0,3,3
48029150600,1506,3,0,3,3
48029150800,1508,3,0,3,3
48029150900,1509,3,0,3,3
48029151000,1510,3,0,3,3
48029180101,1801.01,3,0,3,3
48029180504,1805.04,3,0,3,3
48029180701,1807.01,3,0,3,3
48029181716,1817.16,3,0,3,3
48029192100,1921,3,0,3,3
48029120701,1207.01,1,1,2,2
48029121206,1212.06,1,1,2,2
48029121300,1213,1,1,2,2
48029141300,1413,1,1,2,2
48029141403,1414.03,1,1,2,2
48029141700,1417,1,1,2,2
48029161000,1610,1,1,2,2
48029170500,1705,1,1,2,2
48029170700,1707,1,1,2,2
48029171700,1717,1,1,2,2
48029180702,1807.02,1,1,2,2
48029181404,1814.04,1,1,2,2
48029190901,1909.01,1,1,2,2
48029120502,1205.02,2,0,2,2
48029130600,1306,2,0,2,2
48029130800,1308,2,0,2,2
48029131200,1312,2,0,2,2
48029150700,1507,2,0,2,2
48029151301,1513.01,2,0,2,2
48029151900,1519,2,0,2,2
48029160300,1603,2,0,2,2
48029160502,1605.02,2,0,2,2
48029170800,1708,2,0,2,2
48029180501,1805.01,2,0,2,2
48029181820,1818.20,2,0,2,2
48029181823,1818.23,2,0,2,2
48029190100,1901,2,0,2,2
48029190504,1905.04,2,0,2,2
48029190603,1906.03,2,0,2,2
48029190604,1906.04,2,0,2,2
48029121404,1214.04,0,1,1,1
48029130300,1303,0,1,1,1
48029131401,1314.01,0,1,1,1
48029140500,1405,0,1,1,1
48029140700,1407,0,1,1,1
48029152000,1520,0,1,1,1
48029160600,1606,0,1,1,1
48029160701,1607.01,0,1,1,1
48029160702,1607.02,0,1,1,1
48029161801,1618.01,0,1,1,1
48029171601,1716.01,0,1,1,1
48029171928,1719.28,0,1,1,1
48029180902,1809.02,0,1,1,1
48029181602,1816.02,0,1,1,1
48029181721,1817.21,0,1,1,1
48029181811,1818.11,0,1,1,1
48029191004,1910.04,0,1,1,1
48029191806,1918.06,0,1,1,1
48029191807,1918.07,0,1,1,1
48029110600,1106,1,0,1,1
48029110700,1107,1,0,1,1
48029111000,1110,1,0,1,1
48029120601,1206.01,1,0,1,1
48029120800,1208,1,0,1,1
48029120901,1209.01,1,0,1,1
48029121111,1211.11,1,0,1,1
48029121119,1211.19,1,0,1,1
48029121205,1212.05,1,0,1,1
48029121402,1214.02,1,0,1,1
48029121501,1215.01,1,0,1,1
48029121506,1215.06,1,0,1,1
48029121808,1218.08,1,0,1,1
48029121812,1218.12,1,0,1,1
48029130401,1304.01,1,0,1,1
48029130700,1307,1,0,1,1
48029131300,1313,1,0,1,1
48029131506,1315.06,1,0,1,1
48029131802,1318.02,1,0,1,1
48029140800,1408,1,0,1,1
48029141404,1414.04,1,0,1,1
48029141800,1418,1,0,1,1
48029150300,1503,1,0,1,1
48029151400,1514,1,0,1,1
48029151500,1515,1,0,1,1
48029160200,1602,1,0,1,1
48029160501,1605.01,1,0,1,1
48029160901,1609.01,1,0,1,1
48029160902,1609.02,1,0,1,1
48029161304,1613.04,1,0,1,1
48029161503,1615.03,1,0,1,1
48029161504,1615.04,1,0,1,1
48029170300,1703,1,0,1,1
48029170401,1704.01,1,0,1,1
48029170600,1706,1,0,1,1
48029171401,1714.01,1,0,1,1
48029171903,1719.03,1,0,1,1
48029171913,1719.13,1,0,1,1
48029171918,1719.18,1,0,1,1
48029171920,1719.20,1,0,1,1
48029171923,1719.23,1,0,1,1
48029180201,1802.01,1,0,1,1
48029181003,1810.03,1,0,1,1
48029181004,1810.04,1,0,1,1
48029181506,1815.06,1,0,1,1
48029181601,1816.01,1,0,1,1
48029181713,1817.13,1,0,1,1
48029181729,1817.29,1,0,1,1
48029181732,1817.32,1,0,1,1
48029181813,1818.13,1,0,1,1
48029181819,1818.19,1,0,1,1
48029190200,1902,1,0,1,1
48029190400,1904,1,0,1,1
48029190501,1905.01,1,0,1,1
48029190503,1905.03,1,0,1,1
48029190601,1906.01,1,0,1,1
48029190902,1909.02,1,0,1,1
48029191202,1912.02,1,0,1,1
48029191303,1913.03,1,0,1,1
48029191413,1914.13,1,0,1,1
48029192000,1920,1,0,1,1
