city,bike_commute_pct,death_rate_per_million,deaths,population
Corpus Christi,0.3299948289470103,15.757262522296527,5,317314
Austin,0.9064186270364757,10.062680436438576,10,993771
Houston,0.5623764025785492,8.79430129276229,21,2387910
San Antonio,0.30633028709371496,8.51553856523656,13,1526621
Arlington,0.07374701899225178,7.432052460380967,3,403657
Irving,0.18595114363488527,3.875187946615411,1,258052
Laredo,0.0,3.8254376300648794,1,261408
Lubbock,0.6526473582984501,3.6753220500946395,1,272085
Dallas,0.055094749989543536,3.0163796958433533,4,1326093
Fort Worth,0.05593475738050166,2.9574832212118585,3,1014376
El Paso,0.2519873063750903,2.9337385804225757,2,681724
