city,serious_injury_rate_per_million,death_rate_per_million
Dallas,45.245695437650305,3.0163796958433533
Lubbock,40.42854255104103,3.6753220500946395
Laredo,3.8254376300648794,3.8254376300648794
Irving,34.876691519538696,3.875187946615411
Garland,3.9908848190732367,3.9908848190732367
Arlington,42.11496394215881,7.432052460380967
San Antonio,45.85289996665839,8.51553856523656
Houston,60.72255654526343,8.79430129276229
Austin,71.44503109871388,10.062680436438576
Corpus Christi,59.8775975847268,15.757262522296527
