intersection,crashes,deaths,serious_injuries
FM1976 & IH0035,1,1,0
IH0410 & SS0122,1,1,0
LAKE BLVD & W MISTLETOE AVE,1,1,0
N ZARZAMORA ST & ZARZAMORA ST,1,1,0
SS0122 & SL0013,1,1,0
US0087 & FM1516,1,1,0
AMANDA ST & UNKNOWN,1,0,1
APPLE VALLEY DR & RAY ELLISON BLVD,1,0,1
BETTY LEVY & W MILITARY DR,1,0,1
BUENA VISTA ST & S CIBOLO ST,1,0,1
BUENA VISTA ST & S ROSILLO ST,1,0,2
E CYPRESS ST & OGDEN ST,1,0,1
E JOSEPHINE ST & AUSTIN ST,1,0,1
FM0471 & SL1604,1,0,1
FM1976 & GIBBS SPRAWL RD,1,0,1
HAYS ST & N HACKBERRY,1,0,1
IH0035 & POTEET JOURDANTON FWY,1,0,1
IH0035 & SEGUIN RD,1,0,1
IH0035 & SL0013,1,0,1
INGRAM RD & CALLAGHAN RD,1,0,1
JONES MALTSBERGER RD & CROSS CANYON DR,1,0,1
LORENE LN & MCCARTY RD,1,0,1
MARTIN LUTHER KING DR & IH0010,1,0,1
MCCULLOUGH AVE & N ST MARYS ST,1,0,1
N PALMETTO ST & GULF ST,1,0,1
N ST MARYS ST & E RUSSELL PL,1,0,1
NEWELL AVE & KARNES ST,1,0,1
PLEASANTON RD & W AMBER PL,1,0,1
RAY ELLISON BLVD & FIVE PALMS DR,1,0,1
ROMERO & AKRON AVE,1,0,1
S FLORES ST & KENDALIA AVE,1,0,1
S SAN GABRIEL AVE & W CESAR E CHAVEZ BLVD,1,0,1
SAN PEDRO AVE & W KINGS HWY,1,0,1
SL0013 & SS0536,1,0,1
SL0353 & BRIGGS AVE,1,0,1
SL0353 & LINARES AVE,1,0,1
W GERALD AVE & PIERIAN AVE,1,0,1
W HAUSMAN RD & JV BACON PKWY,1,0,1
