street,crashes,deaths,serious_injuries
IH0035,4,0,4
IH0410,3,1,2
SL0013,3,1,2
SL0353,3,0,3
SS0536,3,0,3
W OLD US 90,2,2,0
EVERS RD,2,1,1
FM1976,2,1,1
BUENA VISTA ST,2,0,3
CALLAGHAN RD,2,0,2
S FLORES ST,2,0,2
SL0368,2,0,2
US0281,2,0,2
FRIO CITY RD,1,1,0
LAKE BLVD,1,1,0
N ZARZAMORA ST,1,1,0
OCONNOR RD,1,1,0
SS0122,1,1,0
US0087,1,1,0
W COMMERCE ST,1,1,0
AMANDA ST,1,0,1
APPLE VALLEY DR,1,0,1
BETTY LEVY,1,0,1
CLUBHOUSE BLVD,1,0,1
CROSSWINDS WAY,1,0,1
DEERWOOD DR,1,0,1
E CYPRESS ST,1,0,1
E HOUSTON ST,1,0,1
E JOSEPHINE ST,1,0,1
E SOUTHCROSS BLVD,1,0,1
EISENHAUER RD,1,0,1
ENRIQUE M BARRERA PKWY,1,0,1
FM0471,1,0,1
FREDERICKSBURG RD,1,0,1
FURNISH AVE,1,0,1
HAYS ST,1,0,1
IH0037,1,0,1
INGRAM RD,1,0,1
JONES MALTSBERGER RD,1,0,1
LORENE LN,1,0,1
MARTIN LUTHER KING DR,1,0,1
MCCULLOUGH AVE,1,0,1
MONTEZUMA ST,1,0,1
N 281 HWY,1,0,1
N PALMETTO ST,1,0,1
N ST MARYS ST,1,0,1
NEWELL AVE,1,0,1
PA1502,1,0,1
PLEASANTON RD,1,0,1
PVT RD AT TEXAS STATE HOSPITAL,1,0,1
RAY ELLISON BLVD,1,0,1
RIVAS ST,1,0,1
ROMERO,1,0,1
S GENERAL MCMULLEN DR,1,0,1
S SAN GABRIEL AVE,1,0,1
S WW WHITE RD,1,0,1
SAN PEDRO AVE,1,0,1
SOLEDAD ST,1,0,1
SOUTHTON RD,1,0,1
UHR LN,1,0,1
US0090,1,0,1
W GERALD AVE,1,0,1
W HAUSMAN RD,1,0,1
