City,population,workers,bike_commuters,bike_commute_pct,crashes,affected_bicyclists,serious_injuries,deaths,city,affected_rate_per_million,death_rate_per_million
CORPUS CHRISTI,317314,146972.0,485.0,0.3299948289470103,24,24,19,5,Corpus Christi,75.63486010702333,15.757262522296527
AUSTIN,993771,598399.0,5424.0,0.9064186270364757,81,81,71,10,Austin,81.50771153515247,10.062680436438576
HOUSTON,2387910,1152431.0,6481.0,0.5623764025785492,165,166,145,21,Houston,69.51685783802571,8.79430129276229
SAN ANTONIO,1526621,742336.0,2274.0,0.30633028709371496,82,83,70,13,San Antonio,54.36843853189495,8.51553856523656
ARLINGTON,403657,208822.0,154.0,0.07374701899225178,20,20,17,3,Arlington,49.54701640253978,7.432052460380967
GARLAND,250571,,,,2,2,1,1,Garland,7.981769638146473,3.9908848190732367
IRVING,258052,141435.0,263.0,0.18595114363488527,9,10,9,1,Irving,38.75187946615411,3.875187946615411
LAREDO,261408,121293.0,0.0,0.0,2,2,1,1,Laredo,7.650875260129759,3.8254376300648794
LUBBOCK,272085,141424.0,923.0,0.6526473582984501,12,12,11,1,Lubbock,44.103864601135676,3.6753220500946395
DALLAS,1326093,693351.0,382.0,0.055094749989543536,64,64,60,4,Dallas,48.26207513349365,3.0163796958433533
FORT WORTH,1014376,502371.0,281.0,0.05593475738050166,43,43,40,3,Fort Worth,42.390592837369965,2.9574832212118585
EL PASO,681724,318270.0,802.0,0.2519873063750903,24,24,22,2,El Paso,35.20486296507091,2.9337385804225757
PLANO,292615,155771.0,243.0,0.15599822816827266,8,8,8,0,Plano,27.339678417032623,0.0
